CID,MW,XLogP3,HBDC,HDAC,RBC,ExactMass,MonoMass,TPSA,HAC,Charge,Complexity,IsotopeAtoms,DASC,UASC,DBSC,UBSC,CBU,chembl_id,ic50_value,log_ic50,target_chembl_id,target_name
59249253,586.5,4.3,3,7,7,585.1397534,585.1397534,102.0,40,0,987.0,0,4,0,0,0,1,CHEMBL2402730,42.0,1.6232492903979006,CHEMBL5023,p53-binding protein Mdm-2
71575231,322.68,3.8,1,7,3,322.026896,322.026896,96.8,22,0,413.0,0,0,0,0,0,1,CHEMBL2311949,2000.0,3.3010299956639813,CHEMBL3885518,Aryl hydrocarbon receptor nuclear translocator/Endothelial PAS domain-containing protein 1
71562786,765.0,1.2,7,8,6,764.46972967,764.46972967,247.0,55,0,1390.0,0,5,0,0,0,1,CHEMBL2314568,194.0,2.287801729930226,CHEMBL1615381,Menin
332978,254.31,2.8,2,3,0,254.05138412,254.05138412,66.4,18,0,375.0,0,0,1,0,0,1,CHEMBL1359561,8950.0,3.951823035315912,CHEMBL2093862,Runt-related transcription factor 1/Core-binding factor subunit beta
58573596,643.6,6.2,1,6,11,642.1721988,642.1721988,103.0,43,0,1080.0,0,4,0,0,0,1,CHEMBL4111883,0.3,-0.5228787452803376,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
11599265,552.5,3.7,5,6,8,551.1753901,551.1753901,111.0,37,0,845.0,0,5,0,0,0,1,CHEMBL578028,16.4,1.2148438480476977,CHEMBL5023,p53-binding protein Mdm-2
90016517,572.0,3.9,1,6,7,571.1786456,571.1786456,100.0,41,0,999.0,0,0,1,0,0,1,CHEMBL3978059,0.334,-0.4762535331884355,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
71449847,825.4,6.5,2,10,12,824.3235156,824.3235156,147.0,58,0,1440.0,0,0,0,0,0,1,CHEMBL2170852,117.0,2.0681858617461617,CHEMBL4860,Apoptosis regulator Bcl-2
155525472,372.6,2.8,3,4,8,372.201754,372.201754,114.0,24,0,394.0,0,0,0,0,0,1,CHEMBL4457869,31622.78,4.500000046671104,CHEMBL612545,Unchecked
134141909,598.7,4.7,3,10,13,598.14435827,598.14435827,165.0,41,0,1040.0,0,0,0,0,0,1,CHEMBL3928944,190.0,2.278753600952829,CHEMBL4106129,Keap1-p62
4522020,449.5,2.9,0,5,3,449.14878949,449.14878949,102.0,34,0,1160.0,0,0,0,0,0,1,CHEMBL1998294,429.0,2.6324572921847245,CHEMBL2093862,Runt-related transcription factor 1/Core-binding factor subunit beta
71563153,807.0,2.3,7,8,7,806.51667986,806.51667986,247.0,58,0,1470.0,0,5,0,0,0,1,CHEMBL2314813,4610.0,3.663700925389648,CHEMBL1615381,Menin
86703203,510.0,3.8,1,6,6,509.2193676,509.2193676,95.5,36,0,758.0,0,0,1,0,0,1,CHEMBL3968623,6.845,0.8353734524700088,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
45483709,568.2,6.2,0,5,2,567.97327,565.97531,43.2,33,0,755.0,0,0,2,0,0,1,CHEMBL565262,1720.0,3.2355284469075487,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
117656723,506.4,5.4,1,5,9,505.1422784,505.1422784,83.9,34,0,741.0,0,3,1,0,0,1,CHEMBL3926383,3.0,0.47712125471966244,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
71717127,432.3,4.6,1,3,6,431.105499,431.105499,57.6,29,0,603.0,0,3,0,0,0,1,CHEMBL2347379,8100.0,3.90848501887865,CHEMBL5023,p53-binding protein Mdm-2
3320815,491.5,2.7,1,10,6,491.14273892,491.14273892,151.0,35,0,998.0,0,0,1,0,0,1,CHEMBL1577884,60900.0,4.784617292632875,CHEMBL2093862,Runt-related transcription factor 1/Core-binding factor subunit beta
2849148,274.34,-0.1,3,5,6,274.09872823,274.09872823,113.0,18,0,352.0,0,0,3,0,0,1,CHEMBL1391310,139.1,2.143327129992046,CHEMBL4374,Photoreceptor-specific nuclear receptor
155536474,307.37,2.7,2,5,6,307.09906259,307.09906259,104.0,21,0,388.0,0,0,0,0,0,1,CHEMBL4473289,12589.25,4.099999857942367,CHEMBL612545,Unchecked
53473480,528.4,6.7,1,5,7,527.0360993,527.0360993,90.1,35,0,798.0,0,0,0,0,0,1,CHEMBL1824827,3760.0,3.575187844927661,CHEMBL4625,Apoptosis regulator Bcl-X
3663276,319.4,3.2,2,3,5,319.132076794,319.132076794,63.3,24,0,379.0,0,0,0,0,0,1,CHEMBL202880,754.0,2.877371345869774,CHEMBL1949,Cyclophilin A
54757749,217.26,3.1,0,3,3,217.110278721,217.110278721,35.3,16,0,222.0,0,0,0,0,0,1,CHEMBL1828981,7400.0,3.8692317197309762,CHEMBL1293289,Bromodomain-containing protein 2
166635932,522.0,3.2,3,8,5,521.230601,521.230601,111.0,37,0,738.0,0,0,0,0,0,1,CHEMBL5086134,110.0,2.041392685158225,CHEMBL3883320,Histone-lysine N-methyltransferase 2A/WDR5
68001210,566.5,5.5,1,5,10,565.1456497,565.1456497,100.0,37,0,927.0,0,4,0,0,0,1,CHEMBL3961096,0.3,-0.5228787452803376,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
44570044,584.7,6.1,0,5,8,584.24235551,584.24235551,84.7,44,0,977.0,0,1,0,0,0,1,CHEMBL453466,280.0,2.4471580313422194,CHEMBL4860,Apoptosis regulator Bcl-2
146680922,716.8,1.1,4,14,12,716.16961901,716.16961901,259.0,50,0,1280.0,0,0,0,0,0,1,CHEMBL4544116,15.8,1.1986570869544226,CHEMBL3038498,Keap1/Nrf2
72696510,460.4,5.4,0,4,4,459.1480325,459.1480325,45.1,31,0,658.0,0,0,2,0,0,1,CHEMBL3093509,3500.0,3.5440680443502757,CHEMBL394,HCT-116
70690003,747.1,8.2,2,7,12,745.165924,745.165924,133.0,49,0,1220.0,0,0,0,0,0,1,CHEMBL2031011,910.0,2.9590413923210934,CHEMBL4860,Apoptosis regulator Bcl-2
25052266,681.6,4.7,0,8,7,680.1263113,680.1263113,116.0,46,0,1340.0,0,2,0,0,0,1,CHEMBL3220437,460.0,2.662757831681574,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
118540615,553.1,5.1,1,6,12,552.2074232,552.2074232,118.0,38,0,831.0,0,0,0,0,0,1,CHEMBL4101575,1700.0,3.230448921378274,CHEMBL612545,Unchecked
71745128,392.4,5.0,3,8,5,392.09431156,392.09431156,142.0,28,0,604.0,0,0,0,1,0,1,CHEMBL2398267,6700.0,3.8260748027008264,CHEMBL4625,Apoptosis regulator Bcl-X
