chembl_id,ic50_value,units,pchembl_value,target_chembl_id,target_name,assay_chembl_id,activity_comment
CHEMBL655,61.8,nM,7.21,CHEMBL340,Cytochrome P450 3A4,CHEMBL5117648,
CHEMBL1213204,30,nM,7.52,CHEMBL1949,Cyclophilin A,CHEMBL1216020,
CHEMBL1213205,140,nM,6.85,CHEMBL4445,Serine/threonine protein phosphatase 2B catalytic subunit,,
CHEMBL1213206,950,nM,6.02,CHEMBL1949,Cyclophilin A,CHEMBL1216024,
CHEMBL1213208,2.79,nM,8.55,CHEMBL1949,Cyclophilin A,CHEMBL1216020,
CHEMBL1213209,4.75,nM,8.32,CHEMBL1949,Cyclophilin A,CHEMBL1216020,
CHEMBL1269580,26.1,nM,7.58,CHEMBL2075,Cyclophilin B,CHEMBL1273324,
CHEMBL1269581,26.7,nM,7.57,CHEMBL1949,Cyclophilin A,CHEMBL1273323,
CHEMBL1269582,20.6,nM,7.69,CHEMBL2075,Cyclophilin B,CHEMBL1273324,
CHEMBL1272245,830,nM,6.08,CHEMBL2288,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,CHEMBL1272369,
CHEMBL13317,1920,nM,5.72,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13342,2950,nM,5.53,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13347,4850,nM,5.31,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13411,4550,nM,5.34,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13413,930,nM,6.03,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13421,5090,nM,5.29,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13423,1180,nM,5.93,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13436,1410,nM,5.85,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13519,2120,nM,5.67,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13534,6200,nM,5.21,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13550,3950,nM,5.4,CHEMBL2780,Cyclophilin A,CHEMBL666529,
